CREATE CLIENT
CREATE SESSION
time to acquire read lock : 23.538364ms
time to release read lock : 17.948735ms
time to acquire read lock : 20.542642ms
time to release read lock : 10.578217ms
time to acquire read lock : 19.524694ms
time to release read lock : 10.913489ms
time to acquire read lock : 27.562118ms
time to release read lock : 18.190736ms
time to acquire read lock : 22.592303ms
time to release read lock : 11.582497ms
time to acquire read lock : 25.103204ms
time to release read lock : 17.937161ms
time to acquire read lock : 24.665214ms
time to release read lock : 16.701782ms
time to acquire read lock : 32.658749ms
time to release read lock : 15.218836ms
time to acquire read lock : 32.452836ms
time to release read lock : 7.175084ms
time to acquire read lock : 21.605258ms
time to release read lock : 14.088996ms
time to acquire read lock : 19.582872ms
time to release read lock : 11.404961ms
time to acquire read lock : 25.542478ms
time to release read lock : 12.41698ms
time to acquire read lock : 20.57181ms
time to release read lock : 10.623053ms
time to acquire read lock : 29.336848ms
time to release read lock : 16.464743ms
time to acquire read lock : 21.943496ms
time to release read lock : 20.083777ms
time to acquire read lock : 21.859846ms
time to release read lock : 13.594262ms
time to acquire read lock : 17.370081ms
time to release read lock : 16.450763ms
time to acquire read lock : 35.29091ms
time to release read lock : 14.148351ms
time to acquire read lock : 17.104717ms
time to release read lock : 10.167092ms
time to acquire read lock : 25.370467ms
time to release read lock : 9.50419ms
time to acquire read lock : 44.458883ms
time to release read lock : 8.943812ms
time to acquire read lock : 20.058035ms
time to release read lock : 9.433403ms
time to acquire read lock : 23.771607ms
time to release read lock : 15.247591ms
time to acquire read lock : 23.936476ms
time to release read lock : 9.069783ms
time to acquire read lock : 19.625408ms
time to release read lock : 8.339349ms
time to acquire read lock : 15.722415ms
time to release read lock : 8.882568ms
time to acquire read lock : 23.109139ms
time to release read lock : 13.514288ms
time to acquire read lock : 24.32753ms
time to release read lock : 8.820327ms
time to acquire read lock : 19.342704ms
time to release read lock : 11.900773ms
time to acquire read lock : 18.95144ms
time to release read lock : 10.046822ms
time to acquire read lock : 17.964043ms
time to release read lock : 9.396526ms
time to acquire read lock : 25.918253ms
time to release read lock : 15.250872ms
time to acquire read lock : 19.497257ms
time to release read lock : 7.809ms
time to acquire read lock : 24.102628ms
time to release read lock : 12.132998ms
time to acquire read lock : 23.476417ms
time to release read lock : 9.561055ms
time to acquire read lock : 20.487412ms
time to release read lock : 9.929738ms
time to acquire read lock : 25.285401ms
time to release read lock : 13.27152ms
time to acquire read lock : 21.632288ms
time to release read lock : 11.295361ms
time to acquire read lock : 31.617057ms
time to release read lock : 8.611703ms
time to acquire read lock : 32.524028ms
time to release read lock : 11.968011ms
time to acquire read lock : 32.348291ms
time to release read lock : 16.487109ms
time to acquire read lock : 27.860233ms
time to release read lock : 14.050327ms
time to acquire read lock : 32.617269ms
time to release read lock : 11.553446ms
time to acquire read lock : 20.667776ms
time to release read lock : 10.647418ms
time to acquire read lock : 46.531365ms
time to release read lock : 26.35447ms
time to acquire read lock : 26.34998ms
time to release read lock : 22.857345ms
time to acquire read lock : 34.423333ms
time to release read lock : 14.597525ms
time to acquire read lock : 35.369671ms
time to release read lock : 20.570808ms
time to acquire read lock : 25.969467ms
time to release read lock : 22.491854ms
time to acquire read lock : 35.194026ms
time to release read lock : 6.837048ms
time to acquire read lock : 16.676858ms
time to release read lock : 11.723824ms
time to acquire read lock : 17.618817ms
time to release read lock : 8.535116ms
time to acquire read lock : 21.718681ms
time to release read lock : 7.437641ms
time to acquire read lock : 28.875929ms
time to release read lock : 20.141197ms
time to acquire read lock : 35.433067ms
time to release read lock : 12.911797ms
time to acquire read lock : 23.235968ms
time to release read lock : 20.046242ms
time to acquire read lock : 42.725552ms
time to release read lock : 20.148845ms
time to acquire read lock : 17.2202ms
time to release read lock : 7.298317ms
time to acquire read lock : 20.962528ms
time to release read lock : 8.552262ms
time to acquire read lock : 23.589956ms
time to release read lock : 10.570316ms
time to acquire read lock : 28.508049ms
time to release read lock : 12.90468ms
time to acquire read lock : 44.865928ms
time to release read lock : 15.150782ms
time to acquire read lock : 39.85539ms
time to release read lock : 12.519051ms
time to acquire read lock : 35.559384ms
time to release read lock : 14.129117ms
time to acquire read lock : 34.047434ms
time to release read lock : 9.53268ms
time to acquire read lock : 38.268283ms
time to release read lock : 16.131319ms
