CREATE CLIENT
CREATE SESSION
time to release read lock : 4.681189ms
time to acquire read lock : 8.885623ms
time to release read lock : 4.495008ms
time to acquire read lock : 12.577311ms
time to release read lock : 7.445367ms
time to acquire read lock : 10.785439ms
time to release read lock : 6.254273ms
time to acquire read lock : 12.260233ms
time to release read lock : 7.452726ms
time to acquire read lock : 10.027517ms
time to release read lock : 15.554191ms
time to acquire read lock : 10.716501ms
time to release read lock : 4.753378ms
time to acquire read lock : 14.876331ms
time to release read lock : 4.678213ms
time to acquire read lock : 10.886634ms
time to release read lock : 5.101168ms
time to acquire read lock : 9.676721ms
time to release read lock : 6.710455ms
time to acquire read lock : 9.923974ms
time to release read lock : 4.361104ms
time to acquire read lock : 9.224011ms
time to release read lock : 4.010468ms
time to acquire read lock : 8.579237ms
time to release read lock : 4.270537ms
time to acquire read lock : 8.742859ms
time to release read lock : 6.963354ms
time to acquire read lock : 9.098853ms
time to release read lock : 4.881103ms
time to acquire read lock : 12.269254ms
time to release read lock : 5.248038ms
time to acquire read lock : 7.971998ms
time to release read lock : 6.136789ms
time to acquire read lock : 8.81869ms
time to release read lock : 6.101056ms
time to acquire read lock : 8.218083ms
time to release read lock : 4.503687ms
time to acquire read lock : 9.904356ms
time to release read lock : 5.240064ms
time to acquire read lock : 8.123359ms
time to release read lock : 4.748778ms
time to acquire read lock : 10.415118ms
time to release read lock : 5.973547ms
time to acquire read lock : 8.10509ms
time to release read lock : 3.930838ms
time to acquire read lock : 9.384397ms
time to release read lock : 4.781461ms
time to acquire read lock : 8.593236ms
time to release read lock : 4.266309ms
time to acquire read lock : 8.21084ms
time to release read lock : 6.017141ms
time to acquire read lock : 8.163837ms
time to release read lock : 5.443117ms
time to acquire read lock : 11.049837ms
time to release read lock : 4.963939ms
time to acquire read lock : 7.277435ms
time to release read lock : 3.703877ms
time to acquire read lock : 8.061526ms
time to release read lock : 4.52116ms
time to acquire read lock : 9.962663ms
time to release read lock : 4.599179ms
time to acquire read lock : 12.982584ms
time to release read lock : 9.780081ms
time to acquire read lock : 7.767309ms
time to release read lock : 4.123945ms
time to acquire read lock : 8.000216ms
time to release read lock : 6.0538ms
time to acquire read lock : 6.932487ms
time to release read lock : 6.787504ms
time to acquire read lock : 18.079077ms
time to release read lock : 4.19701ms
time to acquire read lock : 9.228908ms
time to release read lock : 4.250813ms
time to acquire read lock : 9.434004ms
time to release read lock : 3.745245ms
time to acquire read lock : 10.668399ms
time to release read lock : 4.186649ms
time to acquire read lock : 11.828673ms
time to release read lock : 3.880793ms
time to acquire read lock : 11.072006ms
time to release read lock : 4.405434ms
time to acquire read lock : 9.420599ms
time to release read lock : 4.21328ms
time to acquire read lock : 10.235338ms
time to release read lock : 5.175861ms
time to acquire read lock : 11.74557ms
time to release read lock : 4.032372ms
time to acquire read lock : 8.942028ms
time to release read lock : 5.394948ms
time to acquire read lock : 13.215059ms
time to release read lock : 4.570933ms
time to acquire read lock : 9.377596ms
time to release read lock : 5.587064ms
time to acquire read lock : 8.693626ms
time to release read lock : 3.732287ms
time to acquire read lock : 12.28391ms
time to release read lock : 4.269271ms
time to acquire read lock : 10.544591ms
time to release read lock : 7.366781ms
time to acquire read lock : 8.306395ms
time to release read lock : 4.335921ms
time to acquire read lock : 7.618335ms
time to release read lock : 5.375226ms
time to acquire read lock : 10.470011ms
time to release read lock : 5.816779ms
time to acquire read lock : 9.310655ms
time to release read lock : 5.162503ms
time to acquire read lock : 8.034334ms
time to release read lock : 4.907409ms
time to acquire read lock : 9.492251ms
time to release read lock : 4.29532ms
time to acquire read lock : 10.649888ms
time to release read lock : 8.165861ms
time to acquire read lock : 10.83669ms
time to release read lock : 4.314833ms
time to acquire read lock : 8.1561ms
time to release read lock : 6.527329ms
time to acquire read lock : 8.852513ms
time to release read lock : 4.544691ms
time to acquire read lock : 8.589344ms
time to release read lock : 4.03454ms
time to acquire read lock : 8.372014ms
time to release read lock : 5.053861ms
time to acquire read lock : 7.273729ms
time to release read lock : 6.111032ms
time to acquire read lock : 9.440444ms
time to release read lock : 4.971973ms
time to acquire read lock : 11.594593ms
time to release read lock : 4.650084ms
time to acquire read lock : 10.261133ms
time to release read lock : 5.221273ms
time to acquire read lock : 10.991504ms
time to release read lock : 7.00454ms
time to acquire read lock : 9.495932ms
time to release read lock : 4.832441ms
time to acquire read lock : 10.056461ms
time to release read lock : 4.160002ms
time to acquire read lock : 10.970472ms
time to release read lock : 4.800322ms
time to acquire read lock : 10.259442ms
time to release read lock : 5.727959ms
time to acquire read lock : 13.02482ms
time to release read lock : 3.476285ms
time to acquire read lock : 7.611546ms
time to release read lock : 4.887562ms
time to acquire read lock : 12.379529ms
time to release read lock : 4.49539ms
time to acquire read lock : 9.335569ms
time to release read lock : 4.969419ms
time to acquire read lock : 9.295201ms
time to release read lock : 4.213575ms
time to acquire read lock : 9.389903ms
time to release read lock : 4.088841ms
time to acquire read lock : 14.724518ms
time to release read lock : 4.533664ms
time to acquire read lock : 9.19668ms
time to release read lock : 5.486886ms
time to acquire read lock : 9.443343ms
time to release read lock : 3.473738ms
time to acquire read lock : 11.003438ms
time to release read lock : 4.398949ms
time to acquire read lock : 9.907399ms
time to release read lock : 6.336412ms
time to acquire read lock : 7.045652ms
time to release read lock : 8.738276ms
time to acquire read lock : 10.015258ms
time to release read lock : 4.730298ms
time to acquire read lock : 11.071362ms
time to release read lock : 6.961656ms
time to acquire read lock : 8.247701ms
time to release read lock : 5.870737ms
time to acquire read lock : 7.827278ms
time to release read lock : 4.735235ms
time to acquire read lock : 8.938529ms
time to release read lock : 6.418812ms
time to acquire read lock : 7.402293ms
time to release read lock : 6.487488ms
time to acquire read lock : 13.804767ms
time to release read lock : 5.1041ms
time to acquire read lock : 9.823673ms
time to release read lock : 4.436936ms
time to acquire read lock : 10.228257ms
time to release read lock : 4.013221ms
time to acquire read lock : 10.521805ms
time to release read lock : 6.657001ms
time to acquire read lock : 9.683476ms
time to release read lock : 5.07852ms
time to acquire read lock : 9.209649ms
time to release read lock : 5.410345ms
time to acquire read lock : 9.0856ms
time to release read lock : 4.892915ms
time to acquire read lock : 9.395885ms
time to release read lock : 5.515621ms
time to acquire read lock : 11.394669ms
time to release read lock : 4.279204ms
time to acquire read lock : 11.061633ms
time to release read lock : 4.104649ms
time to acquire read lock : 9.789058ms
time to release read lock : 4.94301ms
time to acquire read lock : 9.595121ms
time to release read lock : 4.981069ms
time to acquire read lock : 9.124907ms
time to release read lock : 3.816672ms
time to acquire read lock : 9.259679ms
time to release read lock : 4.231975ms
time to acquire read lock : 8.291751ms
time to release read lock : 6.341568ms
time to acquire read lock : 8.912492ms
time to release read lock : 4.40392ms
time to acquire read lock : 9.300367ms
time to release read lock : 5.915157ms
time to acquire read lock : 7.7168ms
time to release read lock : 5.896504ms
time to acquire read lock : 7.602489ms
time to release read lock : 6.040163ms
time to acquire read lock : 8.142815ms
time to release read lock : 4.139097ms
time to acquire read lock : 11.869169ms
time to release read lock : 7.638145ms
time to acquire read lock : 9.87177ms
time to release read lock : 4.591004ms
time to acquire read lock : 12.486265ms
time to release read lock : 4.674438ms
time to acquire read lock : 13.765601ms
time to release read lock : 6.179625ms
time to acquire read lock : 8.73271ms
time to release read lock : 5.164528ms
time to acquire read lock : 9.556532ms
time to release read lock : 5.326313ms
time to acquire read lock : 9.506272ms
time to release read lock : 4.692171ms
time to acquire read lock : 10.111855ms
time to release read lock : 5.421127ms
time to acquire read lock : 8.343119ms
time to release read lock : 4.361706ms
time to acquire read lock : 10.157317ms
time to release read lock : 5.019815ms
time to acquire read lock : 8.863429ms
time to release read lock : 5.527533ms
time to acquire read lock : 11.494641ms
time to release read lock : 4.514609ms
time to acquire read lock : 9.573591ms
time to release read lock : 4.19553ms
time to acquire read lock : 10.723234ms
time to release read lock : 5.049455ms
time to acquire read lock : 8.559717ms
time to release read lock : 5.292937ms
time to acquire read lock : 10.982949ms
time to release read lock : 7.263869ms
time to acquire read lock : 10.021352ms
time to release read lock : 5.823531ms
time to acquire read lock : 11.349976ms
time to release read lock : 5.497331ms
time to acquire read lock : 10.914807ms
time to release read lock : 6.053517ms
time to acquire read lock : 8.564429ms
time to release read lock : 5.726071ms
time to acquire read lock : 10.731755ms
time to release read lock : 4.358892ms
time to acquire read lock : 8.194577ms
time to release read lock : 4.920682ms
time to acquire read lock : 9.080801ms
time to release read lock : 6.080437ms
time to acquire read lock : 9.378719ms
time to release read lock : 5.341327ms
time to acquire read lock : 8.817841ms
time to release read lock : 6.862263ms
time to acquire read lock : 8.523503ms
time to release read lock : 4.546472ms
time to acquire read lock : 10.949814ms
time to release read lock : 5.106898ms
time to acquire read lock : 11.10787ms
time to release read lock : 3.750636ms
time to acquire read lock : 10.029281ms
time to release read lock : 5.092451ms
time to acquire read lock : 8.819743ms
time to release read lock : 5.091534ms
time to acquire read lock : 9.519621ms
time to release read lock : 5.018817ms
time to acquire read lock : 9.153028ms
time to release read lock : 3.946342ms
time to acquire read lock : 7.034511ms
time to release read lock : 4.792486ms
time to acquire read lock : 10.275785ms
time to release read lock : 4.380777ms
time to acquire read lock : 7.962751ms
time to release read lock : 4.996287ms
time to acquire read lock : 9.327084ms
time to release read lock : 4.031934ms
time to acquire read lock : 8.13779ms
time to release read lock : 5.505641ms
time to acquire read lock : 7.930056ms
time to release read lock : 4.341662ms
time to acquire read lock : 9.181994ms
time to release read lock : 4.453759ms
time to acquire read lock : 8.044279ms
time to release read lock : 5.729725ms
time to acquire read lock : 8.757767ms
time to release read lock : 6.363686ms
time to acquire read lock : 7.814255ms
time to release read lock : 5.526062ms
time to acquire read lock : 8.591277ms
time to release read lock : 5.137721ms
time to acquire read lock : 9.74478ms
time to release read lock : 5.239593ms
time to acquire read lock : 10.402983ms
time to release read lock : 5.143905ms
time to acquire read lock : 9.014659ms
time to release read lock : 5.442373ms
time to acquire read lock : 10.174657ms
time to release read lock : 4.314574ms
time to acquire read lock : 8.73067ms
time to release read lock : 4.409875ms
time to acquire read lock : 10.101827ms
time to release read lock : 4.785301ms
time to acquire read lock : 10.941931ms
time to release read lock : 5.205338ms
time to acquire read lock : 8.628552ms
time to release read lock : 4.509244ms
time to acquire read lock : 9.769462ms
time to release read lock : 4.345224ms
time to acquire read lock : 10.552981ms
time to release read lock : 3.876332ms
time to acquire read lock : 9.837844ms
time to release read lock : 5.401212ms
time to acquire read lock : 9.585753ms
time to release read lock : 5.87014ms
time to acquire read lock : 8.647405ms
time to release read lock : 4.652102ms
time to acquire read lock : 9.243467ms
time to release read lock : 4.162653ms
time to acquire read lock : 8.821726ms
time to release read lock : 5.704793ms
time to acquire read lock : 11.632324ms
time to release read lock : 4.582289ms
time to acquire read lock : 7.956157ms
time to release read lock : 4.346589ms
time to acquire read lock : 8.181942ms
time to release read lock : 3.979728ms
time to acquire read lock : 17.1466ms
time to release read lock : 4.99148ms
time to acquire read lock : 7.364876ms
time to release read lock : 5.884604ms
time to acquire read lock : 7.772795ms
time to release read lock : 5.837868ms
time to acquire read lock : 7.619212ms
time to release read lock : 4.250343ms
time to acquire read lock : 11.104921ms
time to release read lock : 5.457244ms
time to acquire read lock : 8.69119ms
time to release read lock : 5.425076ms
time to acquire read lock : 9.884309ms
time to release read lock : 5.015185ms
time to acquire read lock : 11.398704ms
time to release read lock : 6.535139ms
time to acquire read lock : 8.647463ms
time to release read lock : 4.944785ms
time to acquire read lock : 7.428525ms
time to release read lock : 4.087834ms
time to acquire read lock : 9.420795ms
time to release read lock : 4.299753ms
time to acquire read lock : 7.682764ms
time to release read lock : 5.210036ms
time to acquire read lock : 7.718314ms
time to release read lock : 4.003785ms
time to acquire read lock : 8.936325ms
time to release read lock : 5.506119ms
time to acquire read lock : 9.396273ms
time to release read lock : 5.856442ms
time to acquire read lock : 7.252226ms
time to release read lock : 5.398472ms
time to acquire read lock : 8.598431ms
time to release read lock : 4.629216ms
time to acquire read lock : 9.84586ms
time to release read lock : 4.73549ms
time to acquire read lock : 13.381884ms
time to release read lock : 4.149611ms
time to acquire read lock : 8.121897ms
time to release read lock : 4.334917ms
time to acquire read lock : 8.282ms
time to release read lock : 3.781016ms
time to acquire read lock : 9.432394ms
time to release read lock : 4.284406ms
time to acquire read lock : 9.413922ms
time to release read lock : 3.58908ms
time to acquire read lock : 10.30467ms
time to release read lock : 5.144244ms
time to acquire read lock : 9.19869ms
time to release read lock : 4.22159ms
time to acquire read lock : 13.161394ms
time to release read lock : 5.227491ms
time to acquire read lock : 9.983691ms
time to release read lock : 5.173253ms
time to acquire read lock : 8.37617ms
time to release read lock : 4.639083ms
time to acquire read lock : 10.467477ms
time to release read lock : 4.445156ms
time to acquire read lock : 9.64425ms
time to release read lock : 5.063128ms
time to acquire read lock : 13.342226ms
time to release read lock : 4.981373ms
time to acquire read lock : 8.406035ms
time to release read lock : 5.027478ms
time to acquire read lock : 11.670439ms
time to release read lock : 4.187768ms
time to acquire read lock : 10.652977ms
time to release read lock : 3.650505ms
time to acquire read lock : 11.080376ms
time to release read lock : 4.438438ms
time to acquire read lock : 9.136701ms
time to release read lock : 3.67825ms
time to acquire read lock : 11.369229ms
time to release read lock : 6.268681ms
time to acquire read lock : 9.981246ms
time to release read lock : 3.728474ms
time to acquire read lock : 8.687386ms
time to release read lock : 4.690778ms
time to acquire read lock : 10.980532ms
time to release read lock : 3.853455ms
time to acquire read lock : 9.092212ms
time to release read lock : 6.26369ms
time to acquire read lock : 9.81049ms
time to release read lock : 5.611842ms
time to acquire read lock : 9.164662ms
time to release read lock : 5.504971ms
time to acquire read lock : 11.91088ms
time to release read lock : 4.100637ms
time to acquire read lock : 8.769241ms
time to release read lock : 6.176734ms
time to acquire read lock : 8.874673ms
time to release read lock : 5.211774ms
time to acquire read lock : 7.84861ms
time to release read lock : 4.011046ms
time to acquire read lock : 7.805319ms
time to release read lock : 4.37694ms
time to acquire read lock : 8.153563ms
time to release read lock : 4.601912ms
time to acquire read lock : 12.145826ms
time to release read lock : 4.087546ms
time to acquire read lock : 8.766959ms
time to release read lock : 8.03126ms
time to acquire read lock : 7.843409ms
time to release read lock : 5.746073ms
time to acquire read lock : 8.946577ms
time to release read lock : 4.248331ms
time to acquire read lock : 15.715166ms
time to release read lock : 5.518803ms
time to acquire read lock : 8.961224ms
time to release read lock : 4.738048ms
time to acquire read lock : 10.625401ms
time to release read lock : 5.62878ms
time to acquire read lock : 9.7446ms
time to release read lock : 5.111566ms
time to acquire read lock : 10.818533ms
time to release read lock : 5.346276ms
time to acquire read lock : 11.132831ms
time to release read lock : 5.51868ms
time to acquire read lock : 7.10156ms
time to release read lock : 4.258584ms
time to acquire read lock : 10.756432ms
time to release read lock : 7.695412ms
time to acquire read lock : 9.310894ms
time to release read lock : 4.107703ms
time to acquire read lock : 12.139397ms
time to release read lock : 5.219901ms
time to acquire read lock : 10.876459ms
time to release read lock : 4.02873ms
time to acquire read lock : 10.356877ms
time to release read lock : 5.287117ms
time to acquire read lock : 10.12682ms
time to release read lock : 3.867572ms
time to acquire read lock : 8.993307ms
time to release read lock : 4.009271ms
time to acquire read lock : 12.741482ms
time to release read lock : 4.902088ms
time to acquire read lock : 10.461391ms
time to release read lock : 3.833051ms
time to acquire read lock : 12.136ms
time to release read lock : 4.174253ms
time to acquire read lock : 9.238147ms
time to release read lock : 5.01487ms
time to acquire read lock : 11.263427ms
time to release read lock : 4.972706ms
time to acquire read lock : 9.205281ms
time to release read lock : 5.350582ms
time to acquire read lock : 14.98014ms
time to release read lock : 7.036968ms
time to acquire read lock : 7.40102ms
time to release read lock : 4.370357ms
time to acquire read lock : 7.916089ms
time to release read lock : 5.12837ms
time to acquire read lock : 12.91182ms
time to release read lock : 5.814587ms
time to acquire read lock : 8.673853ms
time to release read lock : 7.613137ms
time to acquire read lock : 8.135358ms
time to release read lock : 6.249496ms
time to acquire read lock : 8.805193ms
time to release read lock : 7.808091ms
time to acquire read lock : 8.569577ms
time to release read lock : 5.368315ms
time to acquire read lock : 8.713504ms
time to release read lock : 5.771931ms
time to acquire read lock : 8.092963ms
time to release read lock : 5.641258ms
time to acquire read lock : 9.239357ms
time to release read lock : 6.463172ms
time to acquire read lock : 7.600802ms
time to release read lock : 4.889052ms
time to acquire read lock : 10.49615ms
time to release read lock : 3.853336ms
time to acquire read lock : 9.352948ms
time to release read lock : 4.501498ms
time to acquire read lock : 9.404943ms
time to release read lock : 3.616731ms
time to acquire read lock : 8.867132ms
time to release read lock : 3.615798ms
time to acquire read lock : 10.230996ms
time to release read lock : 3.798937ms
time to acquire read lock : 7.701521ms
time to release read lock : 5.898038ms
time to acquire read lock : 11.051643ms
time to release read lock : 6.849674ms
time to acquire read lock : 8.175723ms
time to release read lock : 8.461889ms
time to acquire read lock : 10.015676ms
time to release read lock : 6.546186ms
time to acquire read lock : 13.165648ms
time to release read lock : 5.604651ms
time to acquire read lock : 8.477727ms
time to release read lock : 4.65594ms
time to acquire read lock : 8.423515ms
time to release read lock : 4.485497ms
time to acquire read lock : 11.025532ms
time to release read lock : 4.112873ms
time to acquire read lock : 8.254192ms
time to release read lock : 4.604245ms
time to acquire read lock : 8.529937ms
time to release read lock : 4.109134ms
time to acquire read lock : 12.725715ms
time to release read lock : 6.611162ms
time to acquire read lock : 9.936103ms
time to release read lock : 4.234164ms
time to acquire read lock : 8.194834ms
time to release read lock : 4.423356ms
time to acquire read lock : 12.007239ms
time to release read lock : 5.293487ms
time to acquire read lock : 9.476846ms
time to release read lock : 4.500469ms
time to acquire read lock : 9.002639ms
time to release read lock : 4.464783ms
time to acquire read lock : 8.56983ms
time to release read lock : 4.619217ms
time to acquire read lock : 10.041893ms
