CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to create lock object: 1.168µs
time to acquire read lock : 95.30798ms
time to release read lock : 34.304169ms
time to acquire read lock : 80.979429ms
time to release read lock : 133.040876ms
time to acquire read lock : 69.418956ms
time to release read lock : 44.440388ms
time to acquire read lock : 77.131671ms
time to release read lock : 50.403518ms
time to acquire read lock : 71.377509ms
time to release read lock : 30.497327ms
time to acquire read lock : 109.436346ms
time to release read lock : 47.505505ms
time to acquire read lock : 85.822965ms
time to release read lock : 54.189415ms
time to acquire read lock : 94.303835ms
time to release read lock : 63.825266ms
time to acquire read lock : 140.250243ms
time to release read lock : 42.728053ms
time to acquire read lock : 89.085019ms
time to release read lock : 69.146665ms
time to acquire read lock : 119.152771ms
time to release read lock : 60.130997ms
time to acquire read lock : 135.487625ms
time to release read lock : 40.787442ms
time to acquire read lock : 122.783075ms
time to release read lock : 75.185259ms
time to acquire read lock : 128.801541ms
time to release read lock : 45.695006ms
time to acquire read lock : 103.605431ms
time to release read lock : 50.431365ms
time to acquire read lock : 92.306715ms
time to release read lock : 51.8533ms
time to acquire read lock : 91.670626ms
time to release read lock : 44.890729ms
time to acquire read lock : 63.760199ms
time to release read lock : 31.341998ms
time to acquire read lock : 110.986724ms
time to release read lock : 16.446759ms
time to acquire read lock : 118.651704ms
time to release read lock : 92.037505ms
time to acquire read lock : 151.080736ms
time to release read lock : 27.462871ms
time to acquire read lock : 96.603777ms
time to release read lock : 57.011353ms
time to acquire read lock : 82.119695ms
time to release read lock : 66.372418ms
time to acquire read lock : 96.803778ms
time to release read lock : 51.939638ms
time to acquire read lock : 147.819471ms
time to release read lock : 24.221827ms
time to acquire read lock : 69.710807ms
time to release read lock : 107.160793ms
time to acquire read lock : 164.694688ms
time to release read lock : 125.591422ms
time to acquire read lock : 97.938895ms
time to release read lock : 56.286334ms
time to acquire read lock : 127.831233ms
time to release read lock : 53.320107ms
time to acquire read lock : 98.481266ms
time to release read lock : 83.959055ms
time to acquire read lock : 137.699561ms
time to release read lock : 47.542132ms
time to acquire read lock : 207.830305ms
time to release read lock : 77.300457ms
time to acquire read lock : 105.699509ms
time to release read lock : 56.626157ms
time to acquire read lock : 159.188778ms
time to release read lock : 72.920163ms
time to acquire read lock : 123.533512ms
time to release read lock : 91.843798ms
time to acquire read lock : 170.34543ms
time to release read lock : 100.566481ms
time to acquire read lock : 140.54267ms
time to release read lock : 75.360643ms
time to acquire read lock : 113.129362ms
time to release read lock : 55.452432ms
time to acquire read lock : 130.926197ms
time to release read lock : 47.822477ms
time to acquire read lock : 131.775769ms
time to release read lock : 38.22724ms
time to acquire read lock : 105.943267ms
time to release read lock : 31.192539ms
time to acquire read lock : 81.706245ms
time to release read lock : 65.514821ms
time to acquire read lock : 104.052295ms
time to release read lock : 49.412719ms
time to acquire read lock : 99.328551ms
time to release read lock : 57.560173ms
time to acquire read lock : 109.978701ms
time to release read lock : 27.023913ms
time to acquire read lock : 73.402594ms
time to release read lock : 121.311057ms
time to acquire read lock : 91.05334ms
time to release read lock : 69.695019ms
time to acquire read lock : 91.474106ms
time to release read lock : 118.557476ms
time to acquire read lock : 90.264715ms
time to release read lock : 48.445868ms
time to acquire read lock : 104.789604ms
time to release read lock : 40.610415ms
time to acquire read lock : 101.218158ms
time to release read lock : 59.399724ms
time to acquire read lock : 190.988441ms
time to release read lock : 42.522569ms
time to acquire read lock : 122.536626ms
time to release read lock : 53.023451ms
time to acquire read lock : 102.992542ms
time to release read lock : 47.941085ms
time to acquire read lock : 108.597024ms
time to release read lock : 67.028651ms
time to acquire read lock : 117.484412ms
time to release read lock : 53.088416ms
time to acquire read lock : 112.259046ms
time to release read lock : 52.92782ms
time to acquire read lock : 67.929556ms
time to release read lock : 38.703245ms
time to acquire read lock : 88.782381ms
time to release read lock : 66.671585ms
time to acquire read lock : 145.227475ms
time to release read lock : 83.609435ms
time to acquire read lock : 73.835755ms
time to release read lock : 38.455318ms
time to acquire read lock : 78.465306ms
time to release read lock : 54.635392ms
time to acquire read lock : 276.086716ms
time to release read lock : 41.669489ms
time to acquire read lock : 104.26314ms
time to release read lock : 83.68479ms
time to acquire read lock : 114.903456ms
time to release read lock : 47.219162ms
time to acquire read lock : 184.953836ms
time to release read lock : 59.56942ms
time to acquire read lock : 281.341338ms
time to release read lock : 67.559843ms
time to acquire read lock : 130.803961ms
time to release read lock : 41.386601ms
time to acquire read lock : 144.215389ms
time to release read lock : 57.174875ms
time to acquire read lock : 129.560718ms
time to release read lock : 56.136174ms
time to acquire read lock : 96.787526ms
time to release read lock : 28.754477ms
time to acquire read lock : 159.599713ms
time to release read lock : 60.636151ms
time to acquire read lock : 106.366693ms
time to release read lock : 33.196676ms
time to acquire read lock : 114.794473ms
time to release read lock : 49.975182ms
time to acquire read lock : 315.941199ms
time to release read lock : 50.535252ms
time to acquire read lock : 155.063475ms
time to release read lock : 40.460513ms
time to acquire read lock : 100.349868ms
time to release read lock : 32.358458ms
time to acquire read lock : 71.228652ms
time to release read lock : 38.091818ms
time to acquire read lock : 83.977823ms
time to release read lock : 80.129159ms
time to acquire read lock : 119.769439ms
time to release read lock : 41.011405ms
time to acquire read lock : 90.128066ms
time to release read lock : 79.871724ms
time to acquire read lock : 108.195192ms
time to release read lock : 79.769535ms
time to acquire read lock : 171.320428ms
time to release read lock : 79.819252ms
time to acquire read lock : 243.993542ms
time to release read lock : 83.988993ms
time to acquire read lock : 115.603786ms
time to release read lock : 44.168511ms
time to acquire read lock : 113.322351ms
time to release read lock : 177.875375ms
time to acquire read lock : 114.073529ms
time to release read lock : 51.040441ms
time to acquire read lock : 131.866918ms
time to release read lock : 37.342606ms
time to acquire read lock : 115.482083ms
time to release read lock : 48.151829ms
time to acquire read lock : 121.246916ms
time to release read lock : 75.831238ms
time to acquire read lock : 243.225813ms
time to release read lock : 59.959315ms
time to acquire read lock : 133.149401ms
time to release read lock : 92.10398ms
time to acquire read lock : 104.375191ms
time to release read lock : 47.511703ms
time to acquire read lock : 151.253401ms
time to release read lock : 54.419295ms
time to acquire read lock : 125.281036ms
time to release read lock : 72.857432ms
time to acquire read lock : 137.047254ms
time to release read lock : 46.766586ms
time to acquire read lock : 140.080409ms
time to release read lock : 50.06748ms
time to acquire read lock : 88.281043ms
time to release read lock : 43.58858ms
time to acquire read lock : 116.623102ms
time to release read lock : 52.236403ms
time to acquire read lock : 133.789068ms
time to release read lock : 30.444742ms
time to acquire read lock : 172.497585ms
time to release read lock : 44.781204ms
time to acquire read lock : 119.693325ms
time to release read lock : 58.493387ms
time to acquire read lock : 129.918423ms
time to release read lock : 37.491216ms
time to acquire read lock : 103.385025ms
time to release read lock : 52.562053ms
time to acquire read lock : 125.432564ms
time to release read lock : 72.141071ms
time to acquire read lock : 84.155363ms
time to release read lock : 120.255437ms
time to acquire read lock : 148.801201ms
time to release read lock : 37.123008ms
time to acquire read lock : 98.191461ms
time to release read lock : 72.500889ms
time to acquire read lock : 92.988703ms
time to release read lock : 53.859086ms
time to acquire read lock : 167.259891ms
time to release read lock : 52.964242ms
time to acquire read lock : 222.842434ms
time to release read lock : 65.422354ms
time to acquire read lock : 156.12731ms
time to release read lock : 51.036925ms
time to acquire read lock : 71.634219ms
time to release read lock : 37.293466ms
time to acquire read lock : 99.054973ms
time to release read lock : 54.633359ms
time to acquire read lock : 79.754601ms
time to release read lock : 62.565975ms
time to acquire read lock : 88.911419ms
time to release read lock : 40.996417ms
time to acquire read lock : 120.074484ms
time to release read lock : 57.343738ms
time to acquire read lock : 86.083076ms
time to release read lock : 47.942312ms
time to acquire read lock : 187.598526ms
time to release read lock : 61.485042ms
time to acquire read lock : 213.248736ms
time to release read lock : 47.595068ms
time to acquire read lock : 183.641866ms
time to release read lock : 72.533435ms
time to acquire read lock : 133.350305ms
time to release read lock : 48.471199ms
time to acquire read lock : 105.140444ms
time to release read lock : 51.560501ms
time to acquire read lock : 80.60111ms
time to release read lock : 41.703599ms
time to acquire read lock : 92.518867ms
time to release read lock : 32.740823ms
time to acquire read lock : 104.135698ms
time to release read lock : 65.497755ms
time to acquire read lock : 123.00168ms
time to release read lock : 66.621654ms
time to acquire read lock : 93.655123ms
time to release read lock : 40.382305ms
time to acquire read lock : 60.604697ms
time to release read lock : 42.974423ms
time to acquire read lock : 126.461901ms
time to release read lock : 35.321074ms
time to acquire read lock : 110.58727ms
time to release read lock : 61.292866ms
time to acquire read lock : 121.321687ms
time to release read lock : 29.046994ms
time to acquire read lock : 98.526507ms
time to release read lock : 100.82856ms
time to acquire read lock : 113.942501ms
time to release read lock : 28.64893ms
time to acquire read lock : 139.061995ms
time to release read lock : 27.092489ms
time to acquire read lock : 88.489144ms
time to release read lock : 55.667261ms
time to acquire read lock : 89.364734ms
time to release read lock : 38.385001ms
time to acquire read lock : 94.535481ms
time to release read lock : 88.556917ms
time to acquire read lock : 82.45942ms
time to release read lock : 76.191527ms
time to acquire read lock : 98.889144ms
time to release read lock : 40.811996ms
time to acquire read lock : 77.321068ms
time to release read lock : 46.320257ms
time to acquire read lock : 88.782932ms
time to release read lock : 36.727625ms
time to acquire read lock : 120.438632ms
time to release read lock : 55.472063ms
time to acquire read lock : 82.931736ms
time to release read lock : 64.250296ms
time to acquire read lock : 104.647582ms
time to release read lock : 37.452902ms
time to acquire read lock : 115.01093ms
time to release read lock : 68.738738ms
time to acquire read lock : 83.688943ms
time to release read lock : 53.106715ms
time to acquire read lock : 66.236769ms
time to release read lock : 47.852687ms
time to acquire read lock : 95.614197ms
time to release read lock : 42.897033ms
time to acquire read lock : 101.065402ms
time to release read lock : 57.61508ms
time to acquire read lock : 73.571732ms
time to release read lock : 45.668152ms
time to acquire read lock : 266.608114ms
time to release read lock : 44.518268ms
time to acquire read lock : 114.021084ms
time to release read lock : 61.379222ms
time to acquire read lock : 144.553181ms
time to release read lock : 38.147044ms
time to acquire read lock : 139.130316ms
time to release read lock : 85.011976ms
time to acquire read lock : 252.770253ms
time to release read lock : 86.250648ms
time to acquire read lock : 77.901956ms
time to release read lock : 54.145236ms
time to acquire read lock : 163.378788ms
time to release read lock : 60.601665ms
time to acquire read lock : 181.152577ms
time to release read lock : 60.614118ms
time to acquire read lock : 90.018035ms
time to release read lock : 39.154008ms
time to acquire read lock : 136.440028ms
time to release read lock : 53.624256ms
time to acquire read lock : 117.169194ms
time to release read lock : 38.364068ms
time to acquire read lock : 115.696416ms
time to release read lock : 44.648544ms
time to acquire read lock : 189.31261ms
time to release read lock : 40.119721ms
time to acquire read lock : 102.808587ms
time to release read lock : 52.114041ms
time to acquire read lock : 70.045152ms
time to release read lock : 47.863262ms
time to acquire read lock : 161.869825ms
time to release read lock : 30.835457ms
time to acquire read lock : 127.669952ms
time to release read lock : 36.83016ms
time to acquire read lock : 141.882525ms
time to release read lock : 43.378815ms
time to acquire read lock : 147.269165ms
time to release read lock : 47.635247ms
time to acquire read lock : 116.999795ms
time to release read lock : 44.462259ms
time to acquire read lock : 171.530353ms
time to release read lock : 53.046404ms
time to acquire read lock : 109.637016ms
time to release read lock : 64.014249ms
time to acquire read lock : 119.56151ms
time to release read lock : 47.487427ms
time to acquire read lock : 108.978881ms
time to release read lock : 56.433307ms
time to acquire read lock : 93.93793ms
time to release read lock : 46.67129ms
time to acquire read lock : 159.602114ms
time to release read lock : 43.764823ms
time to acquire read lock : 82.458012ms
time to release read lock : 40.35544ms
time to acquire read lock : 96.384693ms
time to release read lock : 39.468534ms
time to acquire read lock : 131.019611ms
time to release read lock : 98.44061ms
time to acquire read lock : 87.677438ms
time to release read lock : 55.878627ms
time to acquire read lock : 107.806983ms
time to release read lock : 45.892011ms
time to acquire read lock : 120.311309ms
time to release read lock : 44.772838ms
time to acquire read lock : 93.188851ms
time to release read lock : 52.888221ms
time to acquire read lock : 120.314223ms
time to release read lock : 65.188055ms
time to acquire read lock : 103.486296ms
time to release read lock : 44.166231ms
time to acquire read lock : 120.128149ms
time to release read lock : 67.974659ms
time to acquire read lock : 98.899381ms
time to release read lock : 122.610615ms
time to acquire read lock : 112.656662ms
time to release read lock : 55.26524ms
time to acquire read lock : 120.466788ms
time to release read lock : 44.9355ms
time to acquire read lock : 84.071814ms
time to release read lock : 54.218422ms
time to acquire read lock : 106.559844ms
time to release read lock : 55.284587ms
time to acquire read lock : 81.734274ms
time to release read lock : 50.468791ms
time to acquire read lock : 81.167123ms
time to release read lock : 200.508398ms
time to acquire read lock : 130.197291ms
time to release read lock : 91.008522ms
time to acquire read lock : 113.731173ms
time to release read lock : 46.465389ms
time to acquire read lock : 84.503591ms
time to release read lock : 37.000189ms
time to acquire read lock : 75.925502ms
time to release read lock : 59.876029ms
time to acquire read lock : 105.163428ms
time to release read lock : 95.94364ms
time to acquire read lock : 114.743745ms
time to release read lock : 38.747749ms
time to acquire read lock : 85.822709ms
time to release read lock : 53.766946ms
time to acquire read lock : 112.992094ms
time to release read lock : 39.317239ms
time to acquire read lock : 116.384567ms
time to release read lock : 58.898613ms
time to acquire read lock : 90.766775ms
time to release read lock : 32.113511ms
time to acquire read lock : 190.469696ms
time to release read lock : 29.503305ms
time to acquire read lock : 84.78832ms
time to release read lock : 73.88791ms
time to acquire read lock : 95.758106ms
time to release read lock : 64.556202ms
time to acquire read lock : 135.686814ms
time to release read lock : 53.182824ms
time to acquire read lock : 104.926948ms
time to release read lock : 127.843035ms
time to acquire read lock : 102.420269ms
time to release read lock : 90.555703ms
time to acquire read lock : 140.095464ms
time to release read lock : 101.385782ms
time to acquire read lock : 85.494193ms
time to release read lock : 60.876992ms
time to acquire read lock : 124.768317ms
time to release read lock : 57.206652ms
time to acquire read lock : 115.997616ms
time to release read lock : 63.808852ms
time to acquire read lock : 91.667357ms
time to release read lock : 158.248088ms
time to acquire read lock : 120.684177ms
time to release read lock : 102.385796ms
