CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to release read lock : 68.065435ms
time to acquire read lock : 100.167587ms
time to release read lock : 60.591157ms
time to acquire read lock : 109.476616ms
time to release read lock : 64.019174ms
time to acquire read lock : 89.514201ms
time to release read lock : 54.654763ms
time to acquire read lock : 128.277837ms
time to release read lock : 56.028205ms
time to acquire read lock : 215.545241ms
time to release read lock : 47.791465ms
time to acquire read lock : 112.190312ms
time to release read lock : 64.675507ms
time to acquire read lock : 169.854414ms
time to release read lock : 48.136105ms
time to acquire read lock : 103.884677ms
time to release read lock : 43.034177ms
time to acquire read lock : 135.583384ms
time to release read lock : 57.288354ms
time to acquire read lock : 175.347851ms
time to release read lock : 51.946709ms
time to acquire read lock : 119.929072ms
time to release read lock : 59.52033ms
time to acquire read lock : 84.123892ms
time to release read lock : 42.689101ms
time to acquire read lock : 103.380145ms
time to release read lock : 29.179374ms
time to acquire read lock : 64.863244ms
time to release read lock : 44.411298ms
time to acquire read lock : 127.402728ms
time to release read lock : 41.176316ms
time to acquire read lock : 175.848528ms
time to release read lock : 47.769182ms
time to acquire read lock : 116.524499ms
time to release read lock : 119.811239ms
time to acquire read lock : 103.151379ms
time to release read lock : 146.286372ms
time to acquire read lock : 84.461226ms
time to release read lock : 39.017184ms
time to acquire read lock : 109.27704ms
time to release read lock : 56.175155ms
time to acquire read lock : 134.133432ms
time to release read lock : 49.980819ms
time to acquire read lock : 105.876882ms
time to release read lock : 46.447355ms
time to acquire read lock : 107.056995ms
time to release read lock : 40.08383ms
time to acquire read lock : 74.840478ms
time to release read lock : 38.896365ms
time to acquire read lock : 88.959881ms
time to release read lock : 39.466852ms
time to acquire read lock : 90.912632ms
time to release read lock : 34.330932ms
time to acquire read lock : 181.147735ms
time to release read lock : 49.258148ms
time to acquire read lock : 90.067549ms
time to release read lock : 34.048059ms
time to acquire read lock : 52.477565ms
time to release read lock : 53.35386ms
time to acquire read lock : 95.728996ms
time to release read lock : 33.988456ms
time to acquire read lock : 82.291488ms
time to release read lock : 46.587064ms
time to acquire read lock : 78.00368ms
time to release read lock : 54.984853ms
time to acquire read lock : 88.908304ms
time to release read lock : 48.10011ms
time to acquire read lock : 154.495055ms
time to release read lock : 61.913465ms
time to acquire read lock : 117.813657ms
time to release read lock : 48.664338ms
time to acquire read lock : 78.436585ms
time to release read lock : 38.007488ms
time to acquire read lock : 84.376072ms
time to release read lock : 62.932651ms
time to acquire read lock : 97.454015ms
time to release read lock : 49.188293ms
time to acquire read lock : 98.980516ms
time to release read lock : 40.674705ms
time to acquire read lock : 121.215653ms
time to release read lock : 32.781234ms
time to acquire read lock : 101.778028ms
time to release read lock : 37.080231ms
time to acquire read lock : 129.033474ms
time to release read lock : 50.305706ms
time to acquire read lock : 101.8032ms
time to release read lock : 57.083185ms
time to acquire read lock : 101.839619ms
time to release read lock : 51.858684ms
time to acquire read lock : 120.077232ms
time to release read lock : 78.538557ms
time to acquire read lock : 80.311023ms
time to release read lock : 57.708125ms
time to acquire read lock : 104.428619ms
time to release read lock : 42.420137ms
time to acquire read lock : 72.221161ms
time to release read lock : 39.833486ms
time to acquire read lock : 117.786198ms
time to release read lock : 56.235339ms
time to acquire read lock : 111.450154ms
time to release read lock : 45.504788ms
time to acquire read lock : 96.094046ms
time to release read lock : 48.519144ms
time to acquire read lock : 215.335047ms
time to release read lock : 63.806954ms
time to acquire read lock : 129.197095ms
time to release read lock : 80.246954ms
time to acquire read lock : 126.121314ms
time to release read lock : 81.768177ms
time to acquire read lock : 91.303727ms
time to release read lock : 56.337721ms
time to acquire read lock : 236.356077ms
time to release read lock : 72.404208ms
time to acquire read lock : 79.775878ms
time to release read lock : 64.392576ms
time to acquire read lock : 106.650678ms
time to release read lock : 46.790275ms
time to acquire read lock : 114.98811ms
time to release read lock : 51.791953ms
time to acquire read lock : 97.828937ms
time to release read lock : 40.599332ms
time to acquire read lock : 80.695424ms
time to release read lock : 44.762724ms
time to acquire read lock : 106.769696ms
time to release read lock : 60.372509ms
time to acquire read lock : 94.799857ms
time to release read lock : 42.512237ms
time to acquire read lock : 112.266559ms
time to release read lock : 75.870105ms
time to acquire read lock : 173.187277ms
time to release read lock : 71.260417ms
time to acquire read lock : 128.787663ms
time to release read lock : 50.617144ms
time to acquire read lock : 102.736495ms
time to release read lock : 55.741996ms
time to acquire read lock : 122.219868ms
time to release read lock : 66.0289ms
time to acquire read lock : 84.651046ms
time to release read lock : 42.260978ms
time to acquire read lock : 128.580979ms
time to release read lock : 26.468151ms
time to acquire read lock : 113.137549ms
time to release read lock : 46.933259ms
time to acquire read lock : 106.25464ms
time to release read lock : 58.504671ms
time to acquire read lock : 181.376893ms
time to release read lock : 49.97486ms
time to acquire read lock : 114.17029ms
time to release read lock : 32.13617ms
time to acquire read lock : 140.672719ms
time to release read lock : 46.236639ms
time to acquire read lock : 111.795773ms
time to release read lock : 48.933719ms
time to acquire read lock : 124.719207ms
time to release read lock : 43.866531ms
time to acquire read lock : 101.468585ms
time to release read lock : 84.099248ms
time to acquire read lock : 109.812471ms
time to release read lock : 41.08295ms
time to acquire read lock : 84.235262ms
time to release read lock : 46.381127ms
time to acquire read lock : 107.947053ms
time to release read lock : 48.447162ms
time to acquire read lock : 123.700538ms
time to release read lock : 51.70119ms
time to acquire read lock : 104.507456ms
time to release read lock : 54.979196ms
time to acquire read lock : 143.371313ms
time to release read lock : 34.844109ms
time to acquire read lock : 84.119674ms
time to release read lock : 61.867804ms
time to acquire read lock : 124.537144ms
time to release read lock : 61.389347ms
time to acquire read lock : 136.082766ms
time to release read lock : 59.64975ms
time to acquire read lock : 156.825707ms
time to release read lock : 53.706653ms
time to acquire read lock : 186.434815ms
time to release read lock : 46.313392ms
time to acquire read lock : 95.442555ms
time to release read lock : 65.574695ms
time to acquire read lock : 105.781157ms
time to release read lock : 34.257722ms
time to acquire read lock : 104.563366ms
time to release read lock : 45.199253ms
time to acquire read lock : 90.450223ms
time to release read lock : 45.203206ms
time to acquire read lock : 89.890261ms
time to release read lock : 61.53767ms
time to acquire read lock : 133.402591ms
time to release read lock : 148.963762ms
time to acquire read lock : 141.207078ms
time to release read lock : 54.27682ms
time to acquire read lock : 164.812577ms
time to release read lock : 61.059768ms
time to acquire read lock : 127.645355ms
time to release read lock : 65.688343ms
time to acquire read lock : 74.846392ms
time to release read lock : 51.552896ms
time to acquire read lock : 149.624026ms
time to release read lock : 50.353347ms
time to acquire read lock : 79.494636ms
time to release read lock : 49.994927ms
time to acquire read lock : 94.65562ms
time to release read lock : 41.561965ms
time to acquire read lock : 77.388823ms
time to release read lock : 71.082572ms
time to acquire read lock : 100.637513ms
time to release read lock : 55.475606ms
time to acquire read lock : 83.147831ms
time to release read lock : 107.69095ms
time to acquire read lock : 98.643257ms
time to release read lock : 47.949337ms
time to acquire read lock : 204.56351ms
time to release read lock : 56.485533ms
time to acquire read lock : 104.164454ms
time to release read lock : 50.787914ms
time to acquire read lock : 124.553361ms
time to release read lock : 38.47261ms
time to acquire read lock : 153.807728ms
time to release read lock : 42.019319ms
time to acquire read lock : 136.094865ms
time to release read lock : 61.989247ms
time to acquire read lock : 189.79094ms
time to release read lock : 41.386663ms
time to acquire read lock : 141.737624ms
time to release read lock : 66.408665ms
time to acquire read lock : 127.834318ms
time to release read lock : 85.4444ms
time to acquire read lock : 95.603004ms
time to release read lock : 157.608953ms
time to acquire read lock : 125.516165ms
time to release read lock : 61.985372ms
time to acquire read lock : 129.328832ms
time to release read lock : 65.038598ms
time to acquire read lock : 141.658804ms
time to release read lock : 105.257342ms
