CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to create lock object: 1.222µs
time to acquire read lock : 136.345867ms
time to release read lock : 37.381311ms
time to acquire read lock : 39.158208ms
time to release read lock : 26.314427ms
time to acquire read lock : 61.519971ms
time to release read lock : 21.859075ms
time to acquire read lock : 52.212413ms
time to release read lock : 32.316193ms
time to acquire read lock : 188.694965ms
time to release read lock : 67.345249ms
time to acquire read lock : 138.97104ms
time to release read lock : 55.573934ms
time to acquire read lock : 197.193446ms
time to release read lock : 54.03316ms
time to acquire read lock : 123.15239ms
time to release read lock : 40.384891ms
time to acquire read lock : 84.777014ms
time to release read lock : 48.860209ms
time to acquire read lock : 121.795269ms
time to release read lock : 45.642632ms
time to acquire read lock : 183.495549ms
time to release read lock : 33.912259ms
time to acquire read lock : 82.029458ms
time to release read lock : 73.469321ms
time to acquire read lock : 88.456557ms
time to release read lock : 31.895907ms
time to acquire read lock : 101.199738ms
time to release read lock : 44.347864ms
time to acquire read lock : 78.093195ms
time to release read lock : 37.913239ms
time to acquire read lock : 130.157043ms
time to release read lock : 31.45113ms
time to acquire read lock : 178.996056ms
time to release read lock : 44.887242ms
time to acquire read lock : 105.822777ms
time to release read lock : 41.885273ms
time to acquire read lock : 78.224992ms
time to release read lock : 27.130061ms
time to acquire read lock : 127.933445ms
time to release read lock : 49.894211ms
time to acquire read lock : 129.541338ms
time to release read lock : 51.230208ms
time to acquire read lock : 113.590662ms
time to release read lock : 43.976007ms
time to acquire read lock : 108.796011ms
time to release read lock : 58.574422ms
time to acquire read lock : 121.506778ms
time to release read lock : 52.048791ms
time to acquire read lock : 76.968135ms
time to release read lock : 32.603273ms
time to acquire read lock : 80.476526ms
time to release read lock : 37.225366ms
time to acquire read lock : 85.653842ms
time to release read lock : 64.566414ms
time to acquire read lock : 75.190918ms
time to release read lock : 67.812643ms
time to acquire read lock : 139.327795ms
time to release read lock : 35.034736ms
time to acquire read lock : 155.730215ms
time to release read lock : 43.048448ms
time to acquire read lock : 116.563221ms
time to release read lock : 36.599551ms
time to acquire read lock : 92.074257ms
time to release read lock : 53.743755ms
time to acquire read lock : 90.565654ms
time to release read lock : 68.517103ms
time to acquire read lock : 114.461512ms
time to release read lock : 41.367677ms
time to acquire read lock : 174.133741ms
time to release read lock : 111.241687ms
time to acquire read lock : 155.178713ms
time to release read lock : 31.090795ms
time to acquire read lock : 67.873624ms
time to release read lock : 70.417192ms
time to acquire read lock : 127.226653ms
time to release read lock : 61.431259ms
time to acquire read lock : 95.694162ms
time to release read lock : 36.430275ms
time to acquire read lock : 130.953488ms
time to release read lock : 38.127921ms
time to acquire read lock : 236.961616ms
time to release read lock : 89.912863ms
time to acquire read lock : 174.834678ms
time to release read lock : 99.63933ms
time to acquire read lock : 116.563095ms
time to release read lock : 77.853144ms
time to acquire read lock : 145.782484ms
time to release read lock : 112.561937ms
time to acquire read lock : 160.385489ms
time to release read lock : 46.650372ms
time to acquire read lock : 110.662904ms
time to release read lock : 60.524421ms
time to acquire read lock : 109.212435ms
time to release read lock : 92.163059ms
time to acquire read lock : 80.609876ms
time to release read lock : 56.377502ms
time to acquire read lock : 149.484326ms
time to release read lock : 42.050814ms
time to acquire read lock : 96.163233ms
time to release read lock : 53.717184ms
time to acquire read lock : 78.632821ms
time to release read lock : 39.757016ms
time to acquire read lock : 96.936682ms
time to release read lock : 63.591789ms
time to acquire read lock : 74.661049ms
time to release read lock : 48.053037ms
time to acquire read lock : 85.597112ms
time to release read lock : 53.359316ms
time to acquire read lock : 169.680478ms
time to release read lock : 43.555526ms
time to acquire read lock : 101.986716ms
time to release read lock : 36.200934ms
time to acquire read lock : 122.426219ms
time to release read lock : 109.253589ms
time to acquire read lock : 116.320156ms
time to release read lock : 34.33081ms
time to acquire read lock : 95.451289ms
time to release read lock : 60.537037ms
time to acquire read lock : 88.853525ms
time to release read lock : 102.352543ms
time to acquire read lock : 163.46635ms
time to release read lock : 43.820124ms
time to acquire read lock : 137.939973ms
time to release read lock : 67.489623ms
time to acquire read lock : 101.37473ms
time to release read lock : 33.681302ms
time to acquire read lock : 101.494723ms
time to release read lock : 32.677093ms
time to acquire read lock : 96.186222ms
time to release read lock : 49.242936ms
time to acquire read lock : 125.640665ms
time to release read lock : 49.587756ms
time to acquire read lock : 71.663603ms
time to release read lock : 34.661458ms
time to acquire read lock : 91.509446ms
time to release read lock : 24.90105ms
time to acquire read lock : 88.082491ms
time to release read lock : 50.366721ms
time to acquire read lock : 110.285938ms
time to release read lock : 40.154587ms
time to acquire read lock : 90.501269ms
time to release read lock : 46.542906ms
time to acquire read lock : 153.053634ms
time to release read lock : 204.562587ms
time to acquire read lock : 91.982536ms
time to release read lock : 40.39272ms
time to acquire read lock : 110.381964ms
time to release read lock : 63.518982ms
time to acquire read lock : 116.792174ms
time to release read lock : 66.348559ms
time to acquire read lock : 138.305221ms
time to release read lock : 56.517625ms
time to acquire read lock : 232.344781ms
time to release read lock : 31.565826ms
time to acquire read lock : 138.732206ms
time to release read lock : 59.493282ms
time to acquire read lock : 106.750084ms
time to release read lock : 56.774587ms
time to acquire read lock : 135.636297ms
time to release read lock : 44.669378ms
time to acquire read lock : 128.328125ms
time to release read lock : 52.101832ms
time to acquire read lock : 172.413969ms
time to release read lock : 57.337469ms
time to acquire read lock : 124.504006ms
time to release read lock : 32.841852ms
time to acquire read lock : 95.2144ms
time to release read lock : 50.754562ms
time to acquire read lock : 340.866702ms
time to release read lock : 45.956994ms
time to acquire read lock : 119.728939ms
time to release read lock : 49.83666ms
time to acquire read lock : 108.234543ms
time to release read lock : 46.213171ms
time to acquire read lock : 145.410583ms
time to release read lock : 42.986225ms
time to acquire read lock : 131.694511ms
time to release read lock : 70.228534ms
time to acquire read lock : 115.105023ms
time to release read lock : 73.182377ms
time to acquire read lock : 113.171936ms
time to release read lock : 77.785146ms
time to acquire read lock : 204.457115ms
time to release read lock : 149.821513ms
time to acquire read lock : 235.65064ms
time to release read lock : 83.66043ms
time to acquire read lock : 108.984994ms
time to release read lock : 49.950682ms
time to acquire read lock : 239.853388ms
time to release read lock : 42.142777ms
time to acquire read lock : 102.102541ms
time to release read lock : 54.618086ms
time to acquire read lock : 125.644453ms
time to release read lock : 74.224983ms
time to acquire read lock : 108.249798ms
time to release read lock : 58.72007ms
time to acquire read lock : 104.099141ms
time to release read lock : 72.673722ms
time to acquire read lock : 186.612654ms
time to release read lock : 41.134223ms
time to acquire read lock : 182.617349ms
time to release read lock : 76.456779ms
time to acquire read lock : 122.909651ms
time to release read lock : 52.734972ms
time to acquire read lock : 142.595394ms
time to release read lock : 59.699381ms
time to acquire read lock : 94.108816ms
time to release read lock : 56.625916ms
time to acquire read lock : 133.906376ms
time to release read lock : 32.84546ms
time to acquire read lock : 91.812388ms
time to release read lock : 37.276938ms
time to acquire read lock : 100.791744ms
time to release read lock : 63.772831ms
time to acquire read lock : 112.438981ms
time to release read lock : 69.554634ms
time to acquire read lock : 149.132224ms
time to release read lock : 30.54502ms
time to acquire read lock : 182.829405ms
time to release read lock : 62.742823ms
time to acquire read lock : 106.642767ms
time to release read lock : 65.094878ms
time to acquire read lock : 122.432067ms
time to release read lock : 65.453303ms
time to acquire read lock : 92.163418ms
time to release read lock : 67.466695ms
time to acquire read lock : 108.783922ms
time to release read lock : 56.036647ms
time to acquire read lock : 218.537346ms
time to release read lock : 70.526743ms
time to acquire read lock : 155.366085ms
time to release read lock : 68.775842ms
time to acquire read lock : 108.648799ms
time to release read lock : 52.008833ms
time to acquire read lock : 103.735588ms
time to release read lock : 57.271245ms
time to acquire read lock : 153.740608ms
time to release read lock : 47.212782ms
time to acquire read lock : 171.749716ms
time to release read lock : 63.353301ms
time to acquire read lock : 96.938766ms
time to release read lock : 37.152214ms
time to acquire read lock : 111.256904ms
time to release read lock : 60.261426ms
time to acquire read lock : 121.041784ms
time to release read lock : 48.056527ms
time to acquire read lock : 109.742461ms
time to release read lock : 39.218808ms
time to acquire read lock : 116.87874ms
time to release read lock : 35.106278ms
time to acquire read lock : 112.059474ms
time to release read lock : 32.30125ms
time to acquire read lock : 222.195771ms
time to release read lock : 45.844276ms
time to acquire read lock : 275.36786ms
time to release read lock : 72.835995ms
time to acquire read lock : 135.697802ms
time to release read lock : 58.754055ms
time to acquire read lock : 141.864166ms
time to release read lock : 49.92853ms
time to acquire read lock : 70.629466ms
time to release read lock : 48.429564ms
time to acquire read lock : 86.359659ms
time to release read lock : 35.55845ms
time to acquire read lock : 115.086055ms
time to release read lock : 61.671602ms
time to acquire read lock : 95.591149ms
time to release read lock : 77.221201ms
time to acquire read lock : 215.264967ms
time to release read lock : 56.439675ms
time to acquire read lock : 112.587076ms
time to release read lock : 38.903265ms
time to acquire read lock : 89.050381ms
time to release read lock : 46.901644ms
time to acquire read lock : 114.657571ms
time to release read lock : 26.698061ms
time to acquire read lock : 78.726686ms
time to release read lock : 39.745726ms
time to acquire read lock : 109.043015ms
time to release read lock : 46.429288ms
time to acquire read lock : 140.528863ms
time to release read lock : 49.493745ms
time to acquire read lock : 90.937642ms
time to release read lock : 59.798915ms
time to acquire read lock : 102.220525ms
time to release read lock : 42.873098ms
time to acquire read lock : 89.709826ms
time to release read lock : 33.328307ms
time to acquire read lock : 94.520281ms
time to release read lock : 50.080317ms
time to acquire read lock : 63.619579ms
time to release read lock : 35.695168ms
time to acquire read lock : 110.941672ms
time to release read lock : 71.373094ms
time to acquire read lock : 103.729589ms
time to release read lock : 23.679715ms
time to acquire read lock : 87.168894ms
time to release read lock : 60.134931ms
time to acquire read lock : 92.414078ms
time to release read lock : 46.381904ms
time to acquire read lock : 78.093108ms
time to release read lock : 24.75249ms
time to acquire read lock : 141.792038ms
time to release read lock : 45.553058ms
time to acquire read lock : 105.38982ms
time to release read lock : 44.677847ms
