CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to create lock object: 1.252µs
time to acquire read lock : 145.218991ms
time to release read lock : 110.733953ms
time to acquire read lock : 166.162933ms
time to release read lock : 59.200248ms
time to acquire read lock : 93.539988ms
time to release read lock : 61.990919ms
time to acquire read lock : 96.552323ms
time to release read lock : 50.614292ms
time to acquire read lock : 76.184432ms
time to release read lock : 42.827301ms
time to acquire read lock : 157.304946ms
time to release read lock : 38.809903ms
time to acquire read lock : 121.557205ms
time to release read lock : 43.869685ms
time to acquire read lock : 83.070929ms
time to release read lock : 37.824468ms
time to acquire read lock : 93.189847ms
time to release read lock : 31.675561ms
time to acquire read lock : 103.099717ms
time to release read lock : 47.12665ms
time to acquire read lock : 102.926994ms
time to release read lock : 36.010147ms
time to acquire read lock : 163.1866ms
time to release read lock : 36.132576ms
time to acquire read lock : 75.859696ms
time to release read lock : 41.067611ms
time to acquire read lock : 72.484114ms
time to release read lock : 51.577779ms
time to acquire read lock : 152.431689ms
time to release read lock : 43.67044ms
time to acquire read lock : 147.425454ms
time to release read lock : 60.465673ms
time to acquire read lock : 126.578613ms
time to release read lock : 81.641353ms
time to acquire read lock : 79.267193ms
time to release read lock : 49.322128ms
time to acquire read lock : 139.215845ms
time to release read lock : 36.497095ms
time to acquire read lock : 74.739314ms
time to release read lock : 44.857213ms
time to acquire read lock : 61.888897ms
time to release read lock : 38.939944ms
time to acquire read lock : 83.283326ms
time to release read lock : 41.559007ms
time to acquire read lock : 88.400943ms
time to release read lock : 86.39226ms
time to acquire read lock : 139.874829ms
time to release read lock : 57.277432ms
time to acquire read lock : 133.130398ms
time to release read lock : 25.476798ms
time to acquire read lock : 139.983756ms
time to release read lock : 43.985934ms
time to acquire read lock : 100.281172ms
time to release read lock : 35.926619ms
time to acquire read lock : 75.641193ms
time to release read lock : 66.303718ms
time to acquire read lock : 124.40049ms
time to release read lock : 24.185076ms
time to acquire read lock : 200.177911ms
time to release read lock : 84.624764ms
time to acquire read lock : 204.9278ms
time to release read lock : 62.617725ms
time to acquire read lock : 95.339838ms
time to release read lock : 39.571071ms
time to acquire read lock : 117.280524ms
time to release read lock : 38.508841ms
time to acquire read lock : 125.297404ms
time to release read lock : 88.278697ms
time to acquire read lock : 238.554038ms
time to release read lock : 36.79753ms
time to acquire read lock : 159.711269ms
time to release read lock : 51.891921ms
time to acquire read lock : 135.546119ms
time to release read lock : 54.256655ms
time to acquire read lock : 98.155255ms
time to release read lock : 42.283078ms
time to acquire read lock : 128.931373ms
time to release read lock : 55.939225ms
time to acquire read lock : 167.447138ms
time to release read lock : 39.977289ms
time to acquire read lock : 124.228632ms
time to release read lock : 36.960828ms
time to acquire read lock : 133.123802ms
time to release read lock : 57.580971ms
time to acquire read lock : 138.339591ms
time to release read lock : 39.024494ms
time to acquire read lock : 156.498632ms
time to release read lock : 63.645456ms
time to acquire read lock : 85.599499ms
time to release read lock : 34.019948ms
time to acquire read lock : 95.338174ms
time to release read lock : 64.428269ms
time to acquire read lock : 105.097062ms
time to release read lock : 41.801401ms
time to acquire read lock : 81.662355ms
time to release read lock : 31.80901ms
time to acquire read lock : 99.108026ms
time to release read lock : 41.366619ms
time to acquire read lock : 87.991221ms
time to release read lock : 132.738429ms
time to acquire read lock : 114.89108ms
time to release read lock : 52.420213ms
time to acquire read lock : 74.375426ms
